Country_Region,Confirmed,Deaths,Recovered,Active
US,6764970,199259,2577446,3988245.0
India,5308014,85619,4208431,1013964.0
Brazil,4528240,136532,3936893,454815.0
Russia,1092915,19270,903545,170100.0
Colombia,758398,24039,627685,106674.0
Peru,756412,31283,594513,130616.0
Mexico,694121,73258,586154,34709.0
South Africa,659656,15940,589434,54282.0
Spain,640040,30495,150376,459169.0
Argentina,622934,12799,478077,132058.0
France,467614,31257,93586,343374.0
Chile,444674,12254,418101,14320.0
Iran,419043,24118,357632,37293.0
United Kingdom,392845,41848,2227,348770.0
Bangladesh,347372,4913,254386,88073.0
Saudi Arabia,329271,4458,309430,15383.0
Iraq,315597,8491,249539,57567.0
Pakistan,305671,6416,292303,6952.0
Turkey,301348,7445,266117,27786.0
Italy,296569,35692,217716,43161.0
Philippines,283460,4930,209885,68645.0
Germany,272932,9388,240510,23034.0
Indonesia,240687,9448,174350,56889.0
Israel,183602,1226,132449,49927.0
Ukraine,177048,3585,79671,93792.0
Canada,144607,9262,125984,9362.0
Bolivia,130470,7586,89032,33852.0
Ecuador,125620,11084,97063,17473.0
Qatar,123146,209,120089,2848.0
Romania,111550,4402,89119,18029.0
Dominican Republic,107700,2044,80820,24836.0
Kazakhstan,107262,1671,101877,3714.0
Panama,105601,2247,80190,23164.0
Egypt,101900,5750,88666,7484.0
Belgium,100748,9944,18945,71859.0
Morocco,99816,1795,79008,19013.0
Kuwait,99049,581,89498,8970.0
Netherlands,96261,6320,2721,87220.0
Oman,91753,818,84648,6287.0
China,90334,4737,85226,371.0
Sweden,88237,5865,0,82372.0
Guatemala,85152,3105,74497,7550.0
United Arab Emirates,84242,404,73512,10326.0
Japan,78662,1504,70051,7107.0
Poland,78330,2282,63861,12187.0
Belarus,75461,776,73212,1473.0
Honduras,71143,2166,21810,47167.0
Ethiopia,68131,1089,27939,39103.0
Portugal,68025,1899,45404,20722.0
Venezuela,65949,539,55155,10255.0
Bahrain,64499,221,57299,6979.0
Costa Rica,63712,706,23552,39454.0
Nepal,62797,401,45267,17129.0
Singapore,57558,27,57142,389.0
Nigeria,57145,1095,48431,7619.0
Uzbekistan,50992,427,47271,3294.0
Algeria,49623,1665,34923,13035.0
Switzerland,49283,2045,40500,6738.0
Czechia,48306,499,24228,23579.0
Armenia,47154,928,42551,3675.0
Moldova,46336,1201,34236,10899.0
Ghana,45877,297,45081,499.0
Kyrgyzstan,45335,1063,41484,2788.0
Azerbaijan,39042,574,36601,1867.0
Afghanistan,38919,1437,32576,4906.0
Austria,37474,765,28961,7748.0
Kenya,36829,646,23777,12406.0
West Bank and Gaza,35003,253,23446,11304.0
Paraguay,33015,636,17535,14844.0
Serbia,32840,740,0,32100.0
Ireland,32538,1792,23364,7382.0
Lebanon,28297,286,11440,16571.0
El Salvador,27428,808,21247,5373.0
Libya,27234,436,14679,12119.0
Australia,26898,849,23966,2083.0
Bosnia and Herzegovina,25217,758,17489,6970.0
"Korea, South",22975,383,20158,2434.0
Denmark,22881,635,17742,4504.0
Cameroon,20431,416,19124,891.0
Cote d'Ivoire,19269,120,18392,757.0
Bulgaria,18819,755,13558,4506.0
Hungary,16920,675,4382,11863.0
North Macedonia,16557,689,13792,2076.0
Madagascar,16020,219,14630,1171.0
Greece,14978,331,1347,13300.0
Croatia,14725,244,12353,2128.0
Senegal,14688,302,11153,3233.0
Zambia,14070,330,13365,375.0
Sudan,13535,836,6759,5940.0
Norway,12858,267,10371,2220.0
Kosovo,12683,488,8788,3407.0
Albania,12226,358,6888,4980.0
Congo (Kinshasa),10488,268,9891,329.0
Namibia,10292,111,7969,2212.0
Guinea,10286,63,9681,542.0
Malaysia,10167,130,9315,722.0
Maldives,9649,33,8188,1428.0
Tajikistan,9303,73,8066,1164.0
Tunisia,9110,138,2366,6606.0
Finland,8922,339,7700,883.0
Gabon,8696,53,7848,795.0
Haiti,8600,221,6363,2016.0
Montenegro,7898,134,5129,2635.0
Luxembourg,7718,124,6703,891.0
Zimbabwe,7672,225,5914,1533.0
Mauritania,7365,161,6927,277.0
Slovakia,6546,39,3519,2988.0
Mozambique,6537,41,3620,2876.0
Uganda,6017,63,2581,3373.0
Malawi,5718,179,4030,1509.0
Djibouti,5403,61,5333,9.0
Burma,5263,81,1188,3994.0
Eswatini,5245,104,4571,570.0
Cabo Verde,5186,50,4581,555.0
Cuba,5055,113,4284,658.0
Equatorial Guinea,5002,83,4509,410.0
Congo (Brazzaville),4986,89,3887,1010.0
Nicaragua,4961,147,2913,1901.0
Central African Republic,4786,62,1830,2894.0
Jamaica,4758,60,1327,3371.0
Suriname,4709,97,4383,229.0
Rwanda,4689,26,2910,1753.0
Jordan,4540,30,2672,1838.0
Slovenia,4309,141,2981,1187.0
Angola,3901,147,1445,2309.0
Trinidad and Tobago,3853,61,1695,2097.0
Syria,3765,170,932,2663.0
Lithuania,3664,87,2197,1380.0
Thailand,3506,59,3340,107.0
Gambia,3504,108,1992,1404.0
Somalia,3401,98,2812,491.0
Georgia,3306,19,1481,1806.0
Sri Lanka,3283,13,3070,200.0
Bahamas,3214,73,1679,1462.0
Mali,3006,128,2349,529.0
Estonia,2875,64,2374,437.0
Malta,2699,19,2017,663.0
South Sudan,2642,49,1290,1303.0
Botswana,2567,13,624,1930.0
Iceland,2307,10,2116,181.0
Guinea-Bissau,2303,39,1127,1137.0
Benin,2280,40,1950,290.0
Guyana,2168,64,1331,773.0
Sierra Leone,2159,72,1650,437.0
Yemen,2026,585,1221,220.0
Uruguay,1904,46,1612,246.0
Burkina Faso,1816,56,1176,584.0
New Zealand,1815,25,1719,71.0
Togo,1659,41,1259,359.0
Belize,1606,20,876,710.0
Cyprus,1590,22,1282,286.0
Andorra,1564,53,1164,347.0
Latvia,1515,36,1248,231.0
Lesotho,1390,33,754,603.0
Liberia,1335,82,1216,37.0
Niger,1183,69,1104,10.0
Chad,1149,81,966,102.0
Vietnam,1068,35,942,91.0
Sao Tome and Principe,908,15,876,17.0
San Marino,723,42,669,12.0
Diamond Princess,712,13,651,48.0
Papua New Guinea,516,6,232,278.0
Tanzania,509,21,183,305.0
Taiwan*,506,7,479,20.0
Burundi,473,1,374,98.0
Comoros,470,7,450,13.0
Mauritius,366,10,338,18.0
Eritrea,364,0,305,59.0
Mongolia,312,0,302,10.0
Cambodia,275,0,274,1.0
Bhutan,259,0,190,69.0
Monaco,192,1,152,39.0
Barbados,185,7,172,6.0
Brunei,145,3,142,0.0
Seychelles,141,0,136,5.0
Liechtenstein,113,1,109,3.0
Antigua and Barbuda,96,3,92,1.0
Saint Vincent and the Grenadines,64,0,64,0.0
Fiji,32,2,26,4.0
Saint Lucia,27,0,26,1.0
Timor-Leste,27,0,26,1.0
Dominica,24,0,18,6.0
Grenada,24,0,24,0.0
Laos,23,0,22,1.0
Saint Kitts and Nevis,17,0,17,0.0
Holy See,12,0,12,0.0
Western Sahara,10,1,8,1.0
MS Zaandam,9,2,0,7.0
