leaf_size,n_neighbors,weights,mean_test_Accuracy,mean_test_Recall,mean_test_Recall_on_deceased
10,10,uniform,0.78641171,0.78641171,0.01007252
10,10,distance,0.75788714,0.75788714,0.02737518
10,30,uniform,0.79466518,0.79466518,0.00490723
10,30,distance,0.76813552,0.76813552,0.02401834
10,50,uniform,0.79563405,0.79563405,0.0002584
10,50,distance,0.77231491,0.77231491,0.02298508
10,70,uniform,0.79574839,0.79574839,0.0
10,70,distance,0.77425266,0.77425266,0.02195149
10,90,uniform,0.79523086,0.79523086,0.0
10,90,distance,0.77559163,0.77559163,0.0206595
10,110,uniform,0.79497811,0.79497811,0.0
10,110,distance,0.77640404,0.77640404,0.01988464
10,130,uniform,0.79442447,0.79442447,0.0
10,130,distance,0.77715025,0.77715025,0.01962624
10,150,uniform,0.79390693,0.79390693,0.0
10,150,distance,0.77776708,0.77776708,0.01962624
10,170,uniform,0.79357595,0.79357595,0.0
10,170,distance,0.77823948,0.77823948,0.01962624
10,190,uniform,0.79327205,0.79327205,0.0
10,190,distance,0.77855843,0.77855843,0.01962624
30,10,uniform,0.78639968,0.78639968,0.01007252
30,10,distance,0.75788413,0.75788413,0.02737518
30,30,uniform,0.79466819,0.79466819,0.00490723
30,30,distance,0.76813552,0.76813552,0.02401834
30,50,uniform,0.79563405,0.79563405,0.0002584
30,50,distance,0.77231491,0.77231491,0.02298508
30,70,uniform,0.79574839,0.79574839,0.0
30,70,distance,0.77425266,0.77425266,0.02195149
30,90,uniform,0.79523086,0.79523086,0.0
30,90,distance,0.77559163,0.77559163,0.0206595
30,110,uniform,0.79497811,0.79497811,0.0
30,110,distance,0.77640404,0.77640404,0.01988464
30,130,uniform,0.79442748,0.79442748,0.0
30,130,distance,0.77715025,0.77715025,0.01962624
30,150,uniform,0.79390693,0.79390693,0.0
30,150,distance,0.77776708,0.77776708,0.01962624
30,170,uniform,0.79357595,0.79357595,0.0
30,170,distance,0.77823948,0.77823948,0.01962624
30,190,uniform,0.79327205,0.79327205,0.0
30,190,distance,0.77855843,0.77855843,0.01962624
50,10,uniform,0.78640569,0.78640569,0.01007252
50,10,distance,0.75788413,0.75788413,0.02737518
50,30,uniform,0.79466819,0.79466819,0.00490723
50,30,distance,0.76813552,0.76813552,0.02401834
50,50,uniform,0.79563405,0.79563405,0.0002584
50,50,distance,0.77231491,0.77231491,0.02298508
50,70,uniform,0.79574839,0.79574839,0.0
50,70,distance,0.77425266,0.77425266,0.02195149
50,90,uniform,0.79523086,0.79523086,0.0
50,90,distance,0.77558862,0.77558862,0.0206595
50,110,uniform,0.79497811,0.79497811,0.0
50,110,distance,0.77640404,0.77640404,0.01988464
50,130,uniform,0.79442748,0.79442748,0.0
50,130,distance,0.77715025,0.77715025,0.01962624
50,150,uniform,0.79390693,0.79390693,0.0
50,150,distance,0.77776708,0.77776708,0.01962624
50,170,uniform,0.79357595,0.79357595,0.0
50,170,distance,0.77823948,0.77823948,0.01962624
50,190,uniform,0.79327205,0.79327205,0.0
50,190,distance,0.77855843,0.77855843,0.01962624
70,10,uniform,0.7864087,0.7864087,0.01007252
70,10,distance,0.75788714,0.75788714,0.02737518
70,30,uniform,0.79466819,0.79466819,0.00490723
70,30,distance,0.76813552,0.76813552,0.02401834
70,50,uniform,0.79563405,0.79563405,0.0002584
70,50,distance,0.77231491,0.77231491,0.02298508
70,70,uniform,0.79574839,0.79574839,0.0
70,70,distance,0.77425266,0.77425266,0.02195149
70,90,uniform,0.79523086,0.79523086,0.0
70,90,distance,0.77559163,0.77559163,0.0206595
70,110,uniform,0.79497811,0.79497811,0.0
70,110,distance,0.77640404,0.77640404,0.01988464
70,130,uniform,0.79442447,0.79442447,0.0
70,130,distance,0.77715025,0.77715025,0.01962624
70,150,uniform,0.79390693,0.79390693,0.0
70,150,distance,0.77776708,0.77776708,0.01962624
70,170,uniform,0.79357595,0.79357595,0.0
70,170,distance,0.77823948,0.77823948,0.01962624
70,190,uniform,0.79327205,0.79327205,0.0
70,190,distance,0.77855843,0.77855843,0.01962624
90,10,uniform,0.7864087,0.7864087,0.01007252
90,10,distance,0.75788714,0.75788714,0.02737518
90,30,uniform,0.79466819,0.79466819,0.00490723
90,30,distance,0.76813552,0.76813552,0.02401834
90,50,uniform,0.79563405,0.79563405,0.0002584
90,50,distance,0.77231491,0.77231491,0.02298508
90,70,uniform,0.79574839,0.79574839,0.0
90,70,distance,0.77425266,0.77425266,0.02195149
90,90,uniform,0.79523086,0.79523086,0.0
90,90,distance,0.77559163,0.77559163,0.0206595
90,110,uniform,0.79497811,0.79497811,0.0
90,110,distance,0.77640404,0.77640404,0.01988464
90,130,uniform,0.79442447,0.79442447,0.0
90,130,distance,0.77715025,0.77715025,0.01962624
90,150,uniform,0.79390693,0.79390693,0.0
90,150,distance,0.77776708,0.77776708,0.01962624
90,170,uniform,0.79357595,0.79357595,0.0
90,170,distance,0.77823948,0.77823948,0.01962624
90,190,uniform,0.79327205,0.79327205,0.0
90,190,distance,0.77855843,0.77855843,0.01962624
110,10,uniform,0.7864087,0.7864087,0.01007252
110,10,distance,0.75788714,0.75788714,0.02737518
110,30,uniform,0.79466819,0.79466819,0.00490723
110,30,distance,0.76813552,0.76813552,0.02401834
110,50,uniform,0.79563405,0.79563405,0.0002584
110,50,distance,0.77231491,0.77231491,0.02298508
110,70,uniform,0.79574839,0.79574839,0.0
110,70,distance,0.77425266,0.77425266,0.02195149
110,90,uniform,0.79523086,0.79523086,0.0
110,90,distance,0.77559163,0.77559163,0.0206595
110,110,uniform,0.79497811,0.79497811,0.0
110,110,distance,0.77640404,0.77640404,0.01988464
110,130,uniform,0.79442447,0.79442447,0.0
110,130,distance,0.77715025,0.77715025,0.01962624
110,150,uniform,0.79390693,0.79390693,0.0
110,150,distance,0.77776708,0.77776708,0.01962624
110,170,uniform,0.79357595,0.79357595,0.0
110,170,distance,0.77823948,0.77823948,0.01962624
110,190,uniform,0.79327205,0.79327205,0.0
110,190,distance,0.77855843,0.77855843,0.01962624
130,10,uniform,0.78640268,0.78640268,0.01007252
130,10,distance,0.75788112,0.75788112,0.02737518
130,30,uniform,0.79466819,0.79466819,0.00490723
130,30,distance,0.76813552,0.76813552,0.02401834
130,50,uniform,0.79563405,0.79563405,0.0002584
130,50,distance,0.77231491,0.77231491,0.02298508
130,70,uniform,0.79574839,0.79574839,0.0
130,70,distance,0.77425266,0.77425266,0.02195149
130,90,uniform,0.79522183,0.79522183,0.0
130,90,distance,0.77559163,0.77559163,0.0206595
130,110,uniform,0.79497811,0.79497811,0.0
130,110,distance,0.77640404,0.77640404,0.01988464
130,130,uniform,0.79442447,0.79442447,0.0
130,130,distance,0.77715025,0.77715025,0.01962624
130,150,uniform,0.79390693,0.79390693,0.0
130,150,distance,0.77776708,0.77776708,0.01962624
130,170,uniform,0.79357595,0.79357595,0.0
130,170,distance,0.77823948,0.77823948,0.01962624
130,190,uniform,0.79327205,0.79327205,0.0
130,190,distance,0.77855843,0.77855843,0.01962624
150,10,uniform,0.78640268,0.78640268,0.01007252
150,10,distance,0.75788112,0.75788112,0.02737518
150,30,uniform,0.79466819,0.79466819,0.00490723
150,30,distance,0.76813552,0.76813552,0.02401834
150,50,uniform,0.79563405,0.79563405,0.0002584
150,50,distance,0.77231491,0.77231491,0.02298508
150,70,uniform,0.79574839,0.79574839,0.0
150,70,distance,0.77425266,0.77425266,0.02195149
150,90,uniform,0.79522183,0.79522183,0.0
150,90,distance,0.77559163,0.77559163,0.0206595
150,110,uniform,0.79497811,0.79497811,0.0
150,110,distance,0.77640404,0.77640404,0.01988464
150,130,uniform,0.79442447,0.79442447,0.0
150,130,distance,0.77715025,0.77715025,0.01962624
150,150,uniform,0.79390693,0.79390693,0.0
150,150,distance,0.77776708,0.77776708,0.01962624
150,170,uniform,0.79357595,0.79357595,0.0
150,170,distance,0.77823948,0.77823948,0.01962624
150,190,uniform,0.79327205,0.79327205,0.0
150,190,distance,0.77855843,0.77855843,0.01962624
170,10,uniform,0.78640268,0.78640268,0.01007252
170,10,distance,0.75788112,0.75788112,0.02737518
170,30,uniform,0.79466819,0.79466819,0.00490723
170,30,distance,0.76813552,0.76813552,0.02401834
170,50,uniform,0.79563405,0.79563405,0.0002584
170,50,distance,0.77231491,0.77231491,0.02298508
170,70,uniform,0.79574839,0.79574839,0.0
170,70,distance,0.77425266,0.77425266,0.02195149
170,90,uniform,0.79522183,0.79522183,0.0
170,90,distance,0.77559163,0.77559163,0.0206595
170,110,uniform,0.79497811,0.79497811,0.0
170,110,distance,0.77640404,0.77640404,0.01988464
170,130,uniform,0.79442447,0.79442447,0.0
170,130,distance,0.77715025,0.77715025,0.01962624
170,150,uniform,0.79390693,0.79390693,0.0
170,150,distance,0.77776708,0.77776708,0.01962624
170,170,uniform,0.79357595,0.79357595,0.0
170,170,distance,0.77823948,0.77823948,0.01962624
170,190,uniform,0.79327205,0.79327205,0.0
170,190,distance,0.77855843,0.77855843,0.01962624
190,10,uniform,0.78640268,0.78640268,0.01007252
190,10,distance,0.75788112,0.75788112,0.02737518
190,30,uniform,0.79466819,0.79466819,0.00490723
190,30,distance,0.76813552,0.76813552,0.02401834
190,50,uniform,0.79563405,0.79563405,0.0002584
190,50,distance,0.77231491,0.77231491,0.02298508
190,70,uniform,0.79574839,0.79574839,0.0
190,70,distance,0.77425266,0.77425266,0.02195149
190,90,uniform,0.79522183,0.79522183,0.0
190,90,distance,0.77559163,0.77559163,0.0206595
190,110,uniform,0.79497811,0.79497811,0.0
190,110,distance,0.77640404,0.77640404,0.01988464
190,130,uniform,0.79442447,0.79442447,0.0
190,130,distance,0.77715025,0.77715025,0.01962624
190,150,uniform,0.79390693,0.79390693,0.0
190,150,distance,0.77776708,0.77776708,0.01962624
190,170,uniform,0.79357595,0.79357595,0.0
190,170,distance,0.77823948,0.77823948,0.01962624
190,190,uniform,0.79327205,0.79327205,0.0
190,190,distance,0.77855843,0.77855843,0.01962624
