Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Gifu,Japan,2020-09-20 04:22:56,35.778671,137.055925,597,10,552,35.0,"Gifu, Japan",30.05154065741898,1.6750418760469012
Gunma,Japan,2020-09-20 04:22:56,36.504479,138.985605,644,19,480,145.0,"Gunma, Japan",33.15390412961735,2.950310559006211
Hiroshima,Japan,2020-09-20 04:22:56,34.605309000000005,132.788719,472,3,461,8.0,"Hiroshima, Japan",16.832033070665652,0.6355932203389829
Hokkaido,Japan,2020-09-20 04:22:56,43.385711,142.552318,1933,106,1742,85.0,"Hokkaido, Japan",36.81870397781049,5.483704086911536
Hyogo,Japan,2020-09-20 04:22:56,35.039913,134.828057,2582,56,2349,177.0,"Hyogo, Japan",47.23582605068613,2.168861347792409
Ibaraki,Japan,2020-09-20 04:22:56,36.303588,140.319591,623,16,568,39.0,"Ibaraki, Japan",21.780878765810805,2.5682182985553768
Ishikawa,Japan,2020-09-20 04:22:56,36.769464,136.771027,750,44,636,70.0,"Ishikawa, Japan",65.92543042713525,5.866666666666666
Iwate,Japan,2020-09-20 04:22:56,39.593287,141.361777,23,0,23,0.0,"Iwate, Japan",1.8747717669153319,0.0
Kagawa,Japan,2020-09-20 04:22:56,34.217292,133.969047,94,2,82,10.0,"Kagawa, Japan",9.829068319344339,2.127659574468085
Kagoshima,Japan,2020-09-20 04:22:56,31.009484000000004,130.430665,377,12,354,11.0,"Kagoshima, Japan",23.52907400923563,3.1830238726790454
Kanagawa,Japan,2020-09-20 04:22:56,35.415312,139.338983,6327,136,5484,707.0,"Kanagawa, Japan",68.78468859572259,2.149517938991623
Kochi,Japan,2020-09-20 04:22:56,33.422519,133.367307,137,4,129,4.0,"Kochi, Japan",19.626691727707588,2.9197080291970803
Kumamoto,Japan,2020-09-20 04:22:56,32.608154,130.74523100000002,570,8,537,25.0,"Kumamoto, Japan",32.61677520804639,1.4035087719298245
Kyoto,Japan,2020-09-20 04:22:56,35.253815,135.443341,1672,25,1554,93.0,"Kyoto, Japan",64.7320106374206,1.4952153110047848
Mie,Japan,2020-09-20 04:22:56,34.508018,136.376013,469,5,388,76.0,"Mie, Japan",26.33526533481725,1.0660980810234542
Miyagi,Japan,2020-09-20 04:22:56,38.446859,140.927086,365,2,263,100.0,"Miyagi, Japan",15.825769121539741,0.547945205479452
Miyazaki,Japan,2020-09-20 04:22:56,32.193203999999994,131.299374,365,1,340,24.0,"Miyazaki, Japan",34.00723562169419,0.273972602739726
Nagano,Japan,2020-09-20 04:22:56,36.132134,138.045528,300,1,296,3.0,"Nagano, Japan",14.642789158478909,0.3333333333333333
Nagasaki,Japan,2020-09-20 04:22:56,33.235712,129.608033,236,3,227,6.0,"Nagasaki, Japan",17.79085791135328,1.2711864406779658
Nara,Japan,2020-09-20 04:22:56,34.317451,135.871644,552,9,527,16.0,"Nara, Japan",41.49992143583714,1.6304347826086956
Niigata,Japan,2020-09-20 04:22:56,37.521819,138.918647,162,0,144,18.0,"Niigata, Japan",7.287101919566588,0.0
Oita,Japan,2020-09-20 04:22:56,33.200697,131.43323999999998,158,2,151,5.0,"Oita, Japan",13.915383897258673,1.2658227848101269
Okayama,Japan,2020-09-20 04:22:56,34.89246,133.826252,148,1,146,1.0,"Okayama, Japan",7.832403500025933,0.6756756756756757
Okinawa,Japan,2020-09-20 04:22:56,25.768923,126.668016,2343,45,2139,159.0,"Okinawa, Japan",161.23393853979718,1.9206145966709347
Osaka,Japan,2020-09-20 04:22:56,34.620965000000005,135.507481,10001,192,9014,795.0,"Osaka, Japan",113.52693719171295,1.91980801919808
Port Quarantine,Japan,2020-09-20 04:22:56,,,887,1,514,372.0,"Port Quarantine, Japan",,0.11273957158962795
Saga,Japan,2020-09-20 04:22:56,33.286977,130.115738,243,0,243,0.0,"Saga, Japan",29.82652744347382,0.0
Saitama,Japan,2020-09-20 04:22:56,35.997101,139.347635,4424,100,4011,313.0,"Saitama, Japan",60.192990373883646,2.2603978300180843
Shiga,Japan,2020-09-20 04:22:56,35.21582700000001,136.138064,477,7,448,22.0,"Shiga, Japan",33.73544760998145,1.4675052410901468
Shimane,Japan,2020-09-20 04:22:56,35.07076,132.55406399999998,137,0,137,0.0,"Shimane, Japan",20.315980223802022,0.0
Shizuoka,Japan,2020-09-20 04:22:56,34.916975,138.40778400000002,519,2,494,23.0,"Shizuoka, Japan",14.244435612955355,0.3853564547206166
Tochigi,Japan,2020-09-20 04:22:56,36.689912,139.819213,385,1,313,71.0,"Tochigi, Japan",19.90703157720567,0.2597402597402597
Tokushima,Japan,2020-09-20 04:22:56,33.919178,134.242091,147,9,107,31.0,"Tokushima, Japan",20.192945656250128,6.122448979591836
Tokyo,Japan,2020-09-20 04:22:56,35.711343,139.446921,24056,390,21208,2458.0,"Tokyo, Japan",172.8078612347702,1.6212171599600929
Tottori,Japan,2020-09-20 04:22:56,35.359069,133.863619,36,0,23,13.0,"Tottori, Japan",6.479971488125452,0.0
Toyama,Japan,2020-09-20 04:22:56,36.637464,137.26934599999998,410,25,374,11.0,"Toyama, Japan",39.29077280158543,6.097560975609754
Unknown,Japan,2020-09-20 04:22:56,,,8,0,8,0.0,"Unknown, Japan",,0.0
Wakayama,Japan,2020-09-20 04:22:56,33.911879,135.505446,236,5,227,4.0,"Wakayama, Japan",25.515361653222453,2.1186440677966103
Yamagata,Japan,2020-09-20 04:22:56,38.448396,140.102154,78,1,76,1.0,"Yamagata, Japan",7.237864050642778,1.2820512820512822
Yamaguchi,Japan,2020-09-20 04:22:56,34.201190000000004,131.573293,195,1,171,23.0,"Yamaguchi, Japan",14.355800037693177,0.5128205128205128
Yamanashi,Japan,2020-09-20 04:22:56,35.612364,138.61148899999998,181,6,168,7.0,"Yamanashi, Japan",22.3193366841111,3.314917127071824
,Jordan,2020-09-20 04:22:56,31.24,36.51,4540,30,2672,1838.0,Jordan,44.49610610067096,0.6607929515418502
,Kazakhstan,2020-09-20 04:22:56,48.0196,66.9237,107262,1671,101877,3714.0,Kazakhstan,571.250326268605,1.557867651171897
,Kenya,2020-09-20 04:22:56,-0.0236,37.9062,36829,646,23777,12406.0,Kenya,68.4919278499869,1.7540525129653262
,"Korea, South",2020-09-20 04:22:56,35.90775700000001,127.766922,22975,383,20158,2434.0,"Korea, South",44.8124948665556,1.6670293797606093
,Kosovo,2020-09-20 04:22:56,42.602636,20.902977,12683,488,8788,3407.0,Kosovo,700.5765684949894,3.8476701095955215
,Kuwait,2020-09-20 04:22:56,29.31166,47.481766,99049,581,89498,8970.0,Kuwait,2319.342906310011,0.5865783602055549
,Kyrgyzstan,2020-09-20 04:22:56,41.20438,74.766098,45335,1063,41484,2788.0,Kyrgyzstan,694.8754259340352,2.34476673651704
,Laos,2020-09-20 04:22:56,19.85627,102.495496,23,0,22,1.0,Laos,0.3161270423868636,0.0
,Latvia,2020-09-20 04:22:56,56.8796,24.6032,1515,36,1248,231.0,Latvia,80.32013538316681,2.376237623762376
,Lebanon,2020-09-20 04:22:56,33.8547,35.8623,28297,286,11440,16571.0,Lebanon,414.5812095392503,1.0107078488885748
,Lesotho,2020-09-20 04:22:56,-29.61,28.2336,1390,33,754,603.0,Lesotho,64.88499018789572,2.3741007194244603
,Liberia,2020-09-20 04:22:56,6.4280550000000005,-9.429499,1335,82,1216,37.0,Liberia,26.39551715145115,6.142322097378278
,Libya,2020-09-20 04:22:56,26.3351,17.228331,27234,436,14679,12119.0,Libya,396.34496419666357,1.6009400014687525
,Liechtenstein,2020-09-20 04:22:56,47.14,9.55,113,1,109,3.0,Liechtenstein,296.3001809266592,0.8849557522123894
,Lithuania,2020-09-20 04:22:56,55.1694,23.8813,3664,87,2197,1380.0,Lithuania,134.59251784618178,2.3744541484716155
,Luxembourg,2020-09-20 04:22:56,49.8153,6.1296,7718,124,6703,891.0,Luxembourg,1232.9546180684245,1.6066338429644986
,MS Zaandam,2020-09-20 04:22:56,,,9,2,0,7.0,MS Zaandam,,22.222222222222214
,Madagascar,2020-09-20 04:22:56,-18.766947,46.869107,16020,219,14630,1171.0,Madagascar,57.852692239314116,1.3670411985018731
,Malawi,2020-09-20 04:22:56,-13.2543,34.3015,5718,179,4030,1509.0,Malawi,29.890295089559803,3.1304651976215463
,Malaysia,2020-09-20 04:22:56,4.210483999999999,101.975766,10167,130,9315,722.0,Malaysia,31.41259540336127,1.2786466017507625
,Maldives,2020-09-20 04:22:56,3.2028,73.2207,9649,33,8188,1428.0,Maldives,1785.0601803375132,0.34200435278267177
,Mali,2020-09-20 04:22:56,17.570692,-3.996166000000001,3006,128,2349,529.0,Mali,14.843833098429425,4.258150365934797
,Malta,2020-09-20 04:22:56,35.9375,14.3754,2699,19,2017,663.0,Malta,611.2710315510068,0.7039644312708411
,Mauritania,2020-09-20 04:22:56,21.0079,-10.9408,7365,161,6927,277.0,Mauritania,158.39867861305987,2.1860149355057708
,Mauritius,2020-09-20 04:22:56,-20.348404,57.552152,366,10,338,18.0,Mauritius,28.77885650437541,2.7322404371584703
Aguascalientes,Mexico,2020-09-20 04:22:56,21.8853,-102.2916,6581,555,5783,243.0,"Aguascalientes, Mexico",458.72295043687063,8.433368788937852
Baja California,Mexico,2020-09-20 04:22:56,30.8406,-115.2838,18501,3367,14561,573.0,"Baja California, Mexico",508.98684628987917,18.19901626939084
Baja California Sur,Mexico,2020-09-20 04:22:56,26.0444,-111.6661,9374,428,8112,834.0,"Baja California Sur, Mexico",1164.8945953066204,4.565820354171112
Campeche,Mexico,2020-09-20 04:22:56,19.8301,-90.5349,5851,800,4981,70.0,"Campeche, Mexico",584.7392159037872,13.672876431379251
Chiapas,Mexico,2020-09-20 04:22:56,16.7569,-93.1292,6427,1016,5354,57.0,"Chiapas, Mexico",112.1568653456227,15.808308697681653
Chihuahua,Mexico,2020-09-20 04:22:56,28.63300000000001,-106.0691,9464,1276,7553,635.0,"Chihuahua, Mexico",248.95521147382595,13.482671174978867
Ciudad de Mexico,Mexico,2020-09-20 04:22:56,19.4326,-99.1332,116943,11545,98840,6558.0,"Ciudad de Mexico, Mexico",1296.680377152,9.872330964657996
Coahuila,Mexico,2020-09-20 04:22:56,27.0587,-101.7068,24766,1723,22020,1023.0,"Coahuila, Mexico",769.4362976586966,6.95711863038036
Colima,Mexico,2020-09-20 04:22:56,19.1223,-104.0072,4380,518,3567,295.0,"Colima, Mexico",557.8530553917517,11.82648401826484
Durango,Mexico,2020-09-20 04:22:56,24.5593,-104.6588,8098,559,6859,680.0,"Durango, Mexico",433.2807560850853,6.90293899728328
Guanajuato,Mexico,2020-09-20 04:22:56,21.019,-101.2574,38340,2709,33126,2505.0,"Guanajuato, Mexico",615.5896390194561,7.065727699530518
Guerrero,Mexico,2020-09-20 04:22:56,17.4392,-99.5451,17335,1811,14318,1206.0,"Guerrero, Mexico",474.0162010452145,10.447072396884916
Hidalgo,Mexico,2020-09-20 04:22:56,20.0911,-98.7624,11930,1853,9478,599.0,"Hidalgo, Mexico",386.53272049699103,15.532271584241409
Jalisco,Mexico,2020-09-20 04:22:56,20.6595,-103.3494,24400,2974,19623,1803.0,"Jalisco, Mexico",290.1413880387786,12.188524590163937
Mexico,Mexico,2020-09-20 04:22:56,19.4969,-99.7233,76784,8936,64292,3556.0,"Mexico, Mexico",440.58368846537627,11.637841216920192
Michoacan,Mexico,2020-09-20 04:22:56,19.5665,-101.7068,18684,1480,15891,1313.0,"Michoacan, Mexico",387.2009808096778,7.921216013701563
Morelos,Mexico,2020-09-20 04:22:56,18.6813,-99.1013,5699,1054,4449,196.0,"Morelos, Mexico",278.80813558128,18.49447271451132
Nayarit,Mexico,2020-09-20 04:22:56,21.7514,-104.8455,5642,695,4662,285.0,"Nayarit, Mexico",437.84936957296105,12.318326834455867
Nuevo Leon,Mexico,2020-09-20 04:22:56,25.5922,-99.9962,35910,2820,30263,2827.0,"Nuevo Leon, Mexico",640.0894948854336,7.85296574770259
Oaxaca,Mexico,2020-09-20 04:22:56,17.0732,-96.7266,15374,1356,13292,726.0,"Oaxaca, Mexico",371.0306490043787,8.820085859242877
Puebla,Mexico,2020-09-20 04:22:56,19.0414,-98.2063,29938,3916,25066,956.0,"Puebla, Mexico",453.3003575921753,13.080366089919169
Queretaro,Mexico,2020-09-20 04:22:56,20.5888,-100.3899,8152,917,6702,533.0,"Queretaro, Mexico",357.60079345966034,11.248773307163882
Quintana Roo,Mexico,2020-09-20 04:22:56,19.1817,-88.4791,11290,1573,9361,356.0,"Quintana Roo, Mexico",655.1539843981665,13.932683790965454
San Luis Potosi,Mexico,2020-09-20 04:22:56,22.1565,-100.9855,21524,1531,19097,896.0,"San Luis Potosi, Mexico",750.974655128741,7.112990150529642
Sinaloa,Mexico,2020-09-20 04:22:56,25.1721,-107.4795,17772,3031,14186,555.0,"Sinaloa, Mexico",562.997636119536,17.054917848300697
Sonora,Mexico,2020-09-20 04:22:56,29.2972,-110.3309,23749,2827,20240,682.0,"Sonora, Mexico",772.3892550439142,11.90365910143585
Tabasco,Mexico,2020-09-20 04:22:56,17.8409,-92.6189,30753,2745,27115,893.0,"Tabasco, Mexico",1195.5508852628031,8.925958443078724
Tamaulipas,Mexico,2020-09-20 04:22:56,24.2669,-98.8363,27645,2059,24678,908.0,"Tamaulipas, Mexico",757.2723622021792,7.448001446916258
Tlaxcala,Mexico,2020-09-20 04:22:56,19.3139,-98.2404,7165,1002,5994,169.0,"Tlaxcala, Mexico",519.1987600098839,13.984647592463364
Veracruz,Mexico,2020-09-20 04:22:56,19.1738,-96.1342,31680,4046,26543,1091.0,"Veracruz, Mexico",370.9661818891218,12.771464646464649
Yucatan,Mexico,2020-09-20 04:22:56,20.7099,-89.0943,17222,1506,14630,1086.0,"Yucatan, Mexico",762.3396594570047,8.74462896295436
Zacatecas,Mexico,2020-09-20 04:22:56,22.7709,-102.5832,6748,630,5518,600.0,"Zacatecas, Mexico",404.9384731155178,9.336099585062241
,Moldova,2020-09-20 04:22:56,47.4116,28.3699,46336,1201,34236,10899.0,Moldova,1148.647124428261,2.5919371546961325
,Monaco,2020-09-20 04:22:56,43.7333,7.4167,192,1,152,39.0,Monaco,489.24676383650996,0.5208333333333334
,Mongolia,2020-09-20 04:22:56,46.8625,103.8467,312,0,302,10.0,Mongolia,9.517151004242454,0.0
,Montenegro,2020-09-20 04:22:56,42.708678000000006,19.37439,7898,134,5129,2635.0,Montenegro,1257.5191621209372,1.6966320587490504
,Morocco,2020-09-20 04:22:56,31.7917,-7.0926,99816,1795,79008,19013.0,Morocco,270.4266892957836,1.7983088883545724
,Mozambique,2020-09-20 04:22:56,-18.665695,35.529562,6537,41,3620,2876.0,Mozambique,20.914762504505216,0.6271990209576258
,Namibia,2020-09-20 04:22:56,-22.9576,18.4904,10292,111,7969,2212.0,Namibia,405.05077696389816,1.0785075787019045
,Nepal,2020-09-20 04:22:56,28.1667,84.25,62797,401,45267,17129.0,Nepal,215.5246381140996,0.6385655365702183
Aruba,Netherlands,2020-09-20 04:22:56,12.5211,-69.9683,3460,23,2128,1309.0,"Aruba, Netherlands",3240.7320682614313,0.6647398843930635
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-09-20 04:22:56,12.1784,-68.2385,36,1,17,18.0,"Bonaire, Sint Eustatius and Saba, Netherlands",137.294534914763,2.7777777777777777
Curacao,Netherlands,2020-09-20 04:22:56,12.1696,-68.99,247,1,88,158.0,"Curacao, Netherlands",150.51797684338817,0.4048582995951417
Drenthe,Netherlands,2020-09-20 04:22:56,52.862485,6.6184350000000025,722,41,0,681.0,"Drenthe, Netherlands",146.2479895965419,5.678670360110804
Flevoland,Netherlands,2020-09-20 04:22:56,52.550383,5.515162,1762,97,0,1665.0,"Flevoland, Netherlands",416.52778467262857,5.505107832009081
Friesland,Netherlands,2020-09-20 04:22:56,53.087337,5.7925,1011,69,0,942.0,"Friesland, Netherlands",155.54875168665004,6.824925816023739
Gelderland,Netherlands,2020-09-20 04:22:56,52.061738,5.939114,9126,692,0,8434.0,"Gelderland, Netherlands",437.4980824103335,7.582730659653738
Groningen,Netherlands,2020-09-20 04:22:56,53.217922,6.741514,1011,19,0,992.0,"Groningen, Netherlands",172.5650575387546,1.8793273986152323
Limburg,Netherlands,2020-09-20 04:22:56,51.209227,5.93387,5990,760,0,5230.0,"Limburg, Netherlands",536.1613532390322,12.68781302170284
Noord-Brabant,Netherlands,2020-09-20 04:22:56,51.561174,5.184942,14278,1552,0,12726.0,"Noord-Brabant, Netherlands",557.0913262230512,10.869869729654011
Noord-Holland,Netherlands,2020-09-20 04:22:56,52.60090600000001,4.918688,18087,840,0,17247.0,"Noord-Holland, Netherlands",628.1239939753995,4.644219605241333
Overijssel,Netherlands,2020-09-20 04:22:56,52.444558,6.441722,4041,314,0,3727.0,"Overijssel, Netherlands",347.6410135529238,7.7703538728037636
Sint Maarten,Netherlands,2020-09-20 04:22:56,18.0425,-63.0548,584,20,488,76.0,"Sint Maarten, Netherlands",1361.876778135348,3.424657534246576
Unknown,Netherlands,2020-09-20 04:22:56,,,792,18,0,774.0,"Unknown, Netherlands",,2.272727272727273
Utrecht,Netherlands,2020-09-20 04:22:56,52.084251,5.163824,7260,437,0,6823.0,"Utrecht, Netherlands",535.8590056051147,6.019283746556474
Zeeland,Netherlands,2020-09-20 04:22:56,51.47936,3.861559,1210,72,0,1138.0,"Zeeland, Netherlands",315.5248664886515,5.950413223140496
Zuid-Holland,Netherlands,2020-09-20 04:22:56,51.937835,4.462114,26644,1364,0,25280.0,"Zuid-Holland, Netherlands",718.4196278152752,5.119351448731422
,New Zealand,2020-09-20 04:22:56,-40.9006,174.886,1815,25,1719,71.0,New Zealand,37.638164725760866,1.3774104683195592
,Nicaragua,2020-09-20 04:22:56,12.865416,-85.207229,4961,147,2913,1901.0,Nicaragua,74.88806038866919,2.963112275750857
,Niger,2020-09-20 04:22:56,17.607789,8.081666,1183,69,1104,10.0,Niger,4.887089639386488,5.832628909551986
,Nigeria,2020-09-20 04:22:56,9.082,8.6753,57145,1095,48431,7619.0,Nigeria,27.72150698060727,1.9161781433196248
,North Macedonia,2020-09-20 04:22:56,41.6086,21.7453,16557,689,13792,2076.0,North Macedonia,794.7181983123578,4.161381892854986
,Norway,2020-09-20 04:22:56,60.472,8.4689,12858,267,10371,2220.0,Norway,237.178122651599,2.076528231451237
,Oman,2020-09-20 04:22:56,21.512583,55.92325500000001,91753,818,84648,6287.0,Oman,1796.7454806719586,0.8915239828670453
Azad Jammu and Kashmir,Pakistan,2020-09-20 04:22:56,34.027401,73.947253,2517,67,2257,193.0,"Azad Jammu and Kashmir, Pakistan",62.21933936261885,2.6618990862137464
Balochistan,Pakistan,2020-09-20 04:22:56,28.328492,65.898403,14269,145,12969,1155.0,"Balochistan, Pakistan",115.59080030407291,1.0161889410610414
Gilgit-Baltistan,Pakistan,2020-09-20 04:22:56,35.792146,74.982138,3450,81,3036,333.0,"Gilgit-Baltistan, Pakistan",340.37632796097813,2.347826086956522
Islamabad,Pakistan,2020-09-20 04:22:56,33.665087,73.121219,16124,180,15529,415.0,"Islamabad, Pakistan",803.5595034715924,1.1163483006698092
Khyber Pakhtunkhwa,Pakistan,2020-09-20 04:22:56,34.485332,72.09169,37317,1258,35500,559.0,"Khyber Pakhtunkhwa, Pakistan",122.25713863648943,3.3711177211458585
Punjab,Pakistan,2020-09-20 04:22:56,30.811346,72.13913199999998,98368,2226,94773,1369.0,"Punjab, Pakistan",89.41534085753682,2.2629310344827585
Sindh,Pakistan,2020-09-20 04:22:56,26.009446,68.77680699999999,133626,2459,128239,2928.0,"Sindh, Pakistan",279.04994713387407,1.8402107374313381
,Panama,2020-09-20 04:22:56,8.538,-80.7821,105601,2247,80190,23164.0,Panama,2447.431704323384,2.127820759273113
,Papua New Guinea,2020-09-20 04:22:56,-6.314993,143.95555,516,6,232,278.0,Papua New Guinea,5.767278896107054,1.162790697674419
,Paraguay,2020-09-20 04:22:56,-23.4425,-58.4438,33015,636,17535,14844.0,Paraguay,462.8792307918789,1.926397092230804
Amazonas,Peru,2020-09-20 04:22:56,-5.077253,-78.050172,12987,204,0,12783.0,"Amazonas, Peru",3042.8772258669164,1.5708015708015708
Ancash,Peru,2020-09-20 04:22:56,-9.407125,-77.67179499999997,21235,1248,0,19987.0,"Ancash, Peru",1798.6616974419787,5.8770897103838005
Apurimac,Peru,2020-09-20 04:22:56,-14.027713,-72.975378,4200,79,0,4121.0,"Apurimac, Peru",975.156721615974,1.880952380952381
Arequipa,Peru,2020-09-20 04:22:56,-15.843524,-72.475539,39046,1297,0,37749.0,"Arequipa, Peru",2607.586483237612,3.321723095835681
Ayacucho,Peru,2020-09-20 04:22:56,-14.091648,-74.08344,10410,286,0,10124.0,"Ayacucho, Peru",1557.9167913798265,2.7473583093179634
Cajamarca,Peru,2020-09-20 04:22:56,-6.430284,-78.74559599999998,18433,441,0,17992.0,"Cajamarca, Peru",1268.005778358671,2.392448326371181
Callao,Peru,2020-09-20 04:22:56,-11.954609,-77.136042,30730,1687,0,29043.0,"Callao, Peru",2719.7097088237892,5.489749430523918
Cusco,Peru,2020-09-20 04:22:56,-13.191068,-72.153609,19135,387,0,18748.0,"Cusco, Peru",1409.9918944808785,2.02247191011236
Huancavelica,Peru,2020-09-20 04:22:56,-13.023888,-75.00277,5997,102,0,5895.0,"Huancavelica, Peru",1641.6643854366275,1.7008504252126062
Huanuco,Peru,2020-09-20 04:22:56,-9.421676,-76.040642,14919,366,0,14553.0,"Huanuco, Peru",1962.251742733132,2.45324753669817
Ica,Peru,2020-09-20 04:22:56,-14.235097,-75.574821,25278,1546,0,23732.0,"Ica, Peru",2592.0836751435604,6.1159901890972375
Junin,Peru,2020-09-20 04:22:56,-11.541783,-74.876968,17991,723,0,17268.0,"Junin, Peru",1321.4102093279469,4.018676004669001
La Libertad,Peru,2020-09-20 04:22:56,-7.92139,-78.370238,26715,2158,0,24557.0,"La Libertad, Peru",1324.6231654105513,8.077858880778589
Lambayeque,Peru,2020-09-20 04:22:56,-6.353049,-79.824113,24711,1650,0,23061.0,"Lambayeque, Peru",1885.1846200793411,6.677188296709968
